station,bus_stop_count,bus_stop_min_dist,win_count,win_min_dist,songtaew_count,songtaew_min_dist,minibus_count,minibus_min_dist,taxi_count,taxi_min_dist,tuktuk_count,tuktuk_min_dist,kiss_ride_count,kiss_ride_min_dist,park_ride_car_count,park_ride_car_min_dist,park_ride_moto_count,park_ride_moto_min_dist,bike_parking_count,bike_parking_min_dist,bike_share_count,bike_share_min_dist,scooter_share_count,scooter_share_min_dist
SRT การเคหะฯ,8,7.080162249,8,24.93167941,0,0.0,0,0.0,0,0.0,0,0.0,8,12.17172708,8,39.87124286,8,41.75156835,8,29.18036803,0,0.0,0,0
SRT จตุจักร,6,85.0,6,191.81537758100703,0,0.0,0,0.0,0,0.0,0,0.0,6,10.0,4,15.0,5,23.0,6,10.80637283432034,0,0.0,0,0
SRT ตลิ่งชัน,2,18.37948349,1,80.0,0,0.0,0,0.0,1,80.0,0,0.0,1,18.37948349,2,18.37948349,1,70.0,0,0.0,0,0.0,0,0
SRT ทุ่งสองห้อง,8,36.23432966,8,20.82353337,0,0.0,0,0.0,0,0.0,0,0.0,8,11.35181655,8,64.80041715,4,53.03961266,8,45.51471853,0,0.0,0,0
SRT บางบำหรุ,2,180.5685838722633,2,10.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,1.0,2,1.0,0,0.0,0,0.0,0,0
SRT บางเขน,4,5.185935694,3,165.1116438,0,0.0,0,0.0,0,0.0,0,0.0,6,10.28855132,0,0.0,0,0.0,0,0.0,0,0.0,0,0
SRT รังสิต,0,0.0,4,16.36167928,2,39.32178327,0,0.0,2,12.17209731,0,0.0,4,53.02227756,4,10.0,4,10.0,2,50.96584473,0,0.0,0,0
SRT วัดเสมียนนารี,6,44.07483038,6,109.827626,0,0.0,0,0.0,0,0.0,0,0.0,8,12.47812453,4,108.6961071,5,69.61185344,4,59.98280787,0,0.0,0,0
SRT หลักหก,0,0.0,3,78.83546269,0,0.0,0,0.0,0,0.0,0,0.0,2,5.0,2,70.0,2,7.331562399,2,7.331562399,0,0.0,0,0
SRT อิมแพ็ค เมืองทองธานี,0,0.0,4,10.0,0,0.0,0,0.0,0,0.0,0,0.0,2,69.31908666,0,0.0,0,0.0,4,4.755301399,0,0.0,0,0
